,0,1,2,3,4
0,Company,Sentiment,Before,During,After
1,Atkins,Compound,130.9892,182.57850000000002,180.1883
2,Atkins,Positive,170.89,180.22500000000002,172.979
3,Atkins,Negative,108.253,101.562,93.567
4,Blue Bell,Compound,306.9702,91.0703,204.6368
5,Blue Bell,Positive,227.12599999999998,164.42700000000002,204.349
6,Blue Bell,Negative,57.046,119.21000000000001,80.91399999999999
7,Samsung,Compound,284.8941,215.21820000000002,261.7421
8,Samsung,Positive,136.302,132.821,137.871
9,Samsung,Negative,20.316000000000003,37.492999999999995,24.825
10,Toyota,Compound,595.1266,452.93609999999995,606.5092000000001
11,Toyota,Positive,307.019,278.747,301.425
12,Toyota,Negative,45.387,92.061,40.363
